

top - 06:04:57 up 1 day, 40 min,  2 users,  load average: 0.65, 0.60, 0.54
Tasks: 145 total,   1 running,  87 sleeping,   0 stopped,   0 zombie
%Cpu(s): 47.1 us, 19.5 sy,  0.0 ni, 28.9 id,  0.3 wa,  0.0 hi,  4.3 si,  0.0 st
KiB Mem :  7996696 total,  3691736 free,  2105736 used,  2199224 buff/cache
KiB Swap:        0 total,        0 free,        0 used.  5787496 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 9789 root      20   0  909920  49648  11820 S  56.9  0.6   0:08.70 open5gs-amfd
 9793 root      20   0  406800  40240   9360 S  49.0  0.5   0:00.73 open5gs-udmd
 9247 mongodb   20   0  974364  78632  32316 S  39.2  1.0   0:23.46 mongod
 9802 root      20   0  376452  41540  12536 S  36.3  0.5   0:00.59 open5gs-udrd
 9795 root      20   0  898040  47848  12588 S  27.5  0.6   0:00.49 open5gs-pcfd
 9787 root      20   0 12.738g 860744  14128 S  24.5 10.8   0:02.73 open5gs-smfd
 9791 root      20   0  407936  36220   7600 S  16.7  0.5   0:00.38 open5gs-ausfd
 5563 ubuntu    20   0   13180   4588   2712 S   7.8  0.1   1:30.17 sshd
 9075 root      20   0       0      0      0 D   4.9  0.0   0:03.49 kworker/u8:2+br
 9784 root      20   0 13.833g 763440   4828 S   4.9  9.5   0:02.21 open5gs-upfd
 9780 root      20   0  879060  26596   7172 S   3.9  0.3   0:00.16 5gc
 8559 root      20   0       0      0      0 I   2.9  0.0   0:06.48 kworker/u8:4-ev
 9691 root      20   0       0      0      0 I   2.9  0.0   0:00.78 kworker/u8:0-ev
 9800 root      20   0  540340  35796   7144 S   2.9  0.4   0:00.17 open5gs-bsfd
 9234 root      20   0       0      0      0 I   2.0  0.0   0:00.80 kworker/0:1-eve
 9855 ubuntu    20   0    9436   3412   2808 R   2.0  0.0   0:00.23 top
    9 root      20   0       0      0      0 S   1.0  0.0   0:05.95 ksoftirqd/0
   18 root      20   0       0      0      0 S   1.0  0.0   0:05.35 ksoftirqd/1
 5429 root      20   0       0      0      0 I   1.0  0.0   0:02.24 kworker/3:0-eve
