
top - 06:04:08 up 1 day, 39 min,  2 users,  load average: 0.80, 0.59, 0.53
Tasks: 145 total,   1 running,  87 sleeping,   0 stopped,   0 zombie
%Cpu(s): 36.9 us, 17.6 sy,  0.0 ni, 42.8 id,  0.0 wa,  0.0 hi,  2.7 si,  0.0 st
KiB Mem :  7996696 total,  3674956 free,  2122904 used,  2198836 buff/cache
KiB Swap:        0 total,        0 free,        0 used.  5770312 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 5475 root      20   0   12324   6272   5288 S   0.0  0.1   0:00.06 sshd
 5564 ubuntu    20   0    8524   4796   3028 S   0.0  0.1   0:01.46 bash
 5580 root      20   0   12324   6220   5236 S   0.0  0.1   0:00.05 sshd
 5649 ubuntu    20   0   12548   3964   2720 S   0.0  0.0   0:00.76 sshd
 5650 ubuntu    20   0    8508   4776   3064 S   0.0  0.1   0:00.77 bash
 8565 root      20   0       0      0      0 I   0.0  0.0   0:00.18 kworker/2:2-eve
 8574 root      20   0       0      0      0 I   0.0  0.0   0:00.22 kworker/1:0-eve
 8653 root      20   0       0      0      0 I   0.0  0.0   0:03.76 kworker/u8:3-ev
 8746 root      20   0       0      0      0 I   0.0  0.0   0:00.28 kworker/1:2-eve
 8767 root      20   0       0      0      0 I   0.0  0.0   0:00.09 kworker/2:1-eve
 8868 root      20   0       0      0      0 I   0.0  0.0   0:00.90 kworker/0:2-eve
 8884 root      20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/3:1-eve
 8894 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/3:0H
 9072 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/0:2H
 9073 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/1:1H
 9235 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/2:2H
 9363 root      20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/3:2-mm_
 9526 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/3:1H
 9609 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/1:2H
 9698 root      20   0    9680   3736   3232 S   0.0  0.0   0:00.02 sudo
 9701 root      20   0  376536  38116  11548 S   0.0  0.5   0:00.16 open5gs-nrfd
 9716 root      20   0  370536  32028   6788 S   0.0  0.4   0:00.11 open5gs-nssfd
11518 root      20   0  274264  12740  11060 S   0.0  0.2   0:01.37 packagekitd

top - 06:04:09 up 1 day, 39 min,  2 users,  load average: 0.80, 0.59, 0.53
Tasks: 145 total,   1 running,  86 sleeping,   0 stopped,   0 zombie
%Cpu(s): 38.4 us, 15.8 sy,  0.0 ni, 42.4 id,  0.0 wa,  0.0 hi,  3.4 si,  0.0 st
KiB Mem :  7996696 total,  3674956 free,  2122904 used,  2198836 buff/cache
KiB Swap:        0 total,        0 free,        0 used.  5770312 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 9708 root      20   0  909920  50536  12012 S  46.1  0.6   0:09.13 open5gs-amfd
 9712 root      20   0  406800  40428   9284 S  38.2  0.5   0:01.07 open5gs-udmd
 9247 mongodb   20   0  974364  78568  32316 S  31.4  1.0   0:18.45 mongod
 9721 root      20   0  376452  41808  12264 S  29.4  0.5   0:00.87 open5gs-udrd
 9714 root      20   0  898040  49124  12564 S  23.5  0.6   0:00.72 open5gs-pcfd
 9706 root      20   0 12.738g 862372  14044 S  21.6 10.8   0:02.93 open5gs-smfd
 9710 root      20   0  407936  36816   7664 S  11.8  0.5   0:00.48 open5gs-ausfd
 5563 ubuntu    20   0   13180   4588   2712 S   6.9  0.1   1:28.98 sshd
 9075 root      20   0       0      0      0 I   4.9  0.0   0:02.91 kworker/u8:2-ev
 9699 root      20   0  879060  26624   7200 S   3.9  0.3   0:00.20 5gc
 9691 root      20   0       0      0      0 I   2.9  0.0   0:00.41 kworker/u8:0-br
 9703 root      20   0 13.833g 764028   4884 S   2.9  9.6   0:02.24 open5gs-upfd
 9719 root      20   0  540340  36248   7064 S   2.9  0.5   0:00.21 open5gs-bsfd
 9774 ubuntu    20   0    9436   3412   2808 R   2.0  0.0   0:00.15 top
 5429 root      20   0       0      0      0 I   1.0  0.0   0:02.17 kworker/3:0-eve
 8559 root      20   0       0      0      0 I   1.0  0.0   0:05.96 kworker/u8:4-ev
 9234 root      20   0       0      0      0 I   1.0  0.0   0:00.63 kworker/0:1-eve
 9701 root      20   0  376536  38500  11676 S   1.0  0.5   0:00.17 open5gs-nrfd
    1 root      20   0  161784   8704   5540 S   0.0  0.1   0:14.39 systemd
    2 root      20   0       0      0      0 S   0.0  0.0   0:00.20 kthreadd
    3 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 rcu_gp
    4 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 rcu_par_gp
    8 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 mm_percpu_wq
    9 root      20   0       0      0      0 S   0.0  0.0   0:05.92 ksoftirqd/0
   10 root      20   0       0      0      0 I   0.0  0.0   0:28.75 rcu_preempt
   11 root      rt   0       0      0      0 S   0.0  0.0   0:00.75 migration/0
   12 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 idle_inject/0
   14 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/0
   15 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/1
   16 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 idle_inject/1
