

top - 06:45:46 up 1 day,  1:21,  2 users,  load average: 0.77, 0.19, 0.17
Tasks: 143 total,   2 running,  86 sleeping,   0 stopped,   0 zombie
%Cpu(s): 61.0 us, 27.3 sy,  0.0 ni,  4.1 id,  0.0 wa,  0.0 hi,  7.6 si,  0.0 st
KiB Mem :  7996696 total,  3111912 free,  2203980 used,  2680804 buff/cache
KiB Swap:        0 total,        0 free,        0 used.  5689292 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
  182 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 mmc_complete
  185 root       0 -20       0      0      0 I   0.0  0.0   0:04.33 kworker/2:1H-kb
  205 root       0 -20       0      0      0 I   0.0  0.0   0:05.03 kworker/3:2H-kb
  823 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 raid5wq
  891 root      20   0       0      0      0 S   0.0  0.0   0:02.69 jbd2/mmcblk0p2-
  892 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 ext4-rsv-conver
  980 root      19  -1   42744  15372  14460 S   0.0  0.2   0:04.34 systemd-journal
  984 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 iscsi_eh
  990 root      20   0   86136   1124    940 S   0.0  0.0   0:00.00 lvmetad
  992 root      20   0   16944   4248   2600 S   0.0  0.1   0:02.46 systemd-udevd
 1010 root      20   0       0      0      0 S   0.0  0.0   0:00.00 vchiq-keep/0
 1011 root      10 -10       0      0      0 S   0.0  0.0   0:00.00 SMIO
 1012 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 mmal-vchiq
 1013 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 mmal-vchiq
 1015 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 mmal-vchiq
 1016 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 mmal-vchiq
 1553 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 cfg80211
 1554 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 brcmf_wq/mmc1:0
 1555 root      20   0       0      0      0 S   0.0  0.0   0:09.84 brcmf_wdog/mmc1
 1615 systemd+  20   0   83592   2328   1888 S   0.0  0.0   0:00.71 systemd-timesyn
 1663 systemd+  20   0   11492   4960   4320 S   0.0  0.1   0:05.93 systemd-network
