

top - 06:49:56 up 1 day,  1:25,  2 users,  load average: 0.44, 0.30, 0.22
Tasks: 147 total,   1 running,  86 sleeping,   0 stopped,   0 zombie
%Cpu(s): 60.9 us, 26.7 sy,  0.0 ni,  6.1 id,  0.0 wa,  0.0 hi,  6.3 si,  0.0 st
KiB Mem :  7996696 total,  3156148 free,  2159816 used,  2680732 buff/cache
KiB Swap:        0 total,        0 free,        0 used.  5733476 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
20406 root      20   0  909920  77344  11336 S  81.9  1.0   0:10.82 open5gs-amfd
20410 root      20   0  406800  61744   8996 S  67.6  0.8   0:02.48 open5gs-udmd
 9247 mongodb   20   0  974364  78900  32316 S  53.3  1.0   1:13.07 mongod
20420 root      20   0  376452  44644  12456 S  43.8  0.6   0:01.61 open5gs-udrd
20408 root      20   0  407936  53932   7392 S  32.4  0.7   0:01.65 open5gs-ausfd
20412 root      20   0  898040  52636  12644 S  26.7  0.7   0:00.90 open5gs-pcfd
20404 root      20   0 12.738g 865788  14060 S  20.0 10.8   0:03.04 open5gs-smfd
 5563 ubuntu    20   0   13180   4588   2712 S  13.3  0.1   1:42.76 sshd
20130 root      20   0       0      0      0 I   6.7  0.0   0:01.28 kworker/u8:3-br
20397 root      20   0  879060  26552   7132 S   5.7  0.3   0:00.35 5gc
20120 root      20   0       0      0      0 I   4.8  0.0   0:01.66 kworker/u8:1-ev
20302 root      20   0       0      0      0 I   2.9  0.0   0:00.94 kworker/u8:0-ev
20310 root      20   0       0      0      0 I   1.9  0.0   0:00.19 kworker/0:3-eve
20401 root      20   0 13.833g 763656   4772 S   1.9  9.5   0:02.21 open5gs-upfd
20417 root      20   0  540340  36344   7168 S   1.9  0.5   0:00.20 open5gs-bsfd
20472 ubuntu    20   0    9436   3500   2892 R   1.9  0.0   0:00.18 top
   10 root      20   0       0      0      0 I   1.0  0.0   0:30.18 rcu_preempt
   24 root      20   0       0      0      0 S   1.0  0.0   0:04.77 ksoftirqd/2
    1 root      20   0  161784   8704   5540 S   0.0  0.1   0:14.65 systemd
    2 root      20   0       0      0      0 S   0.0  0.0   0:00.20 kthreadd
    3 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 rcu_gp
    4 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 rcu_par_gp
    8 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 mm_percpu_wq
