OBJECT_NAME,OPS_STATUS_CODE,LAUNCH_DATE,DECAY_DATE,INCLINATION
STARLINK-1731,D,2020/10/18,2021/11/13,53.03
STARLINK-1702,D,2020/10/6,2021/3/6,52.96
STARLINK-1691,D,2020/9/3,2021/8/17,53.04
STARLINK-1685,D,2020/10/6,2021/8/29,53.06
STARLINK-1674,D,2020/10/6,2021/12/12,53.03
STARLINK-1662,D,2020/9/3,2021/11/23,53.03
STARLINK-1652,D,2020/9/3,2021/7/25,53.05
STARLINK-1632,D,2020/8/18,2021/9/12,53.04
STARLINK-1607,D,2020/8/18,2021/9/30,53.04
STARLINK-1592,D,2020/8/18,2021/8/1,53.03
STARLINK-1562,D,2020/8/7,2021/8/18,53.01
STARLINK-1535,D,2020/8/7,2022/1/8,53.03
STARLINK-1516,D,2020/6/13,2021/6/19,52.96
STARLINK-1508,D,2020/6/13,2021/10/25,53.03
STARLINK-1473,D,2020/6/13,2021/6/28,52.96
STARLINK-1447,D,2020/6/4,2021/1/8,52.98
STARLINK-1440,D,2020/6/4,2020/7/14,53
STARLINK-1438,D,2020/6/4,2021/6/27,52.95
STARLINK-1345,D,2020/4/22,2022/1/9,53.04
STARLINK-1311,D,2020/3/18,2020/9/25,52.99
STARLINK-1268,D,2020/3/18,2020/11/19,52.98
STARLINK-1254,D,2020/2/17,2021/11/27,53.02
STARLINK-1220,D,2020/2/17,2020/2/29,53
STARLINK-1198,D,2020/2/17,2021/7/31,53.02
STARLINK-1188,D,2020/2/17,2021/12/25,53.04
STARLINK-1178,D,2020/1/29,2021/10/31,53.05
STARLINK-1175,D,2020/1/29,2021/3/19,52.96
STARLINK-1164,D,2020/1/29,2021/7/30,53.04
STARLINK-1163,D,2020/1/29,2021/8/19,53
STARLINK-1158,D,2020/1/29,2020/12/5,52.98
STARLINK-1157,D,2020/1/29,2020/10/22,52.98
STARLINK-1127,D,2020/1/29,2021/8/26,53.04
STARLINK-1118,D,2020/1/7,2020/4/2,52.99
STARLINK-1105,D,2020/2/17,2021/6/16,53.02
STARLINK-1101,D,2020/1/7,2021/11/23,53.03
STARLINK-1097,D,2020/1/7,2021/12/13,53.03
STARLINK-1095,D,2020/1/7,2021/9/20,53.01
STARLINK-1087,D,2020/1/7,2020/5/29,52.99
STARLINK-1081,D,2020/1/7,2021/9/30,53.04
STARLINK-1078,D,2020/1/7,2021/10/18,53.04
STARLINK-1077,D,2020/1/7,2020/11/9,52.99
STARLINK-1075,D,2020/1/7,2021/7/29,53.03
STARLINK-1072,D,2020/1/7,2021/11/23,53.03
STARLINK-1051,D,2019/11/11,2021/12/20,53.03
STARLINK-1045,D,2019/11/11,2021/4/23,52.96
STARLINK-1044,D,2019/11/11,2021/10/15,53.03
STARLINK-1040,D,2019/11/11,2020/9/3,52.96
STARLINK-1025,D,2019/11/11,2021/8/17,53
STARLINK-1023,D,2019/11/11,2021/12/20,53.06
