
top - 03:27:15 up 1 day, 16:53,  4 users,  load average: 0.31, 0.19, 0.15
Tasks: 149 total,   1 running,  91 sleeping,   0 stopped,   0 zombie
%Cpu(s): 50.7 us,  9.8 sy,  0.0 ni, 37.3 id,  0.0 wa,  0.0 hi,  2.2 si,  0.0 st
KiB Mem :  7996700 total,  3532340 free,  2310000 used,  2154360 buff/cache
KiB Swap:        0 total,        0 free,        0 used.  5583728 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
  204 root       0 -20       0      0      0 I   0.0  0.0   0:06.63 kworker/1:1H-kb
  225 root       0 -20       0      0      0 I   0.0  0.0   0:05.73 kworker/2:1H-kb
  824 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 raid5wq
  890 root      20   0       0      0      0 S   0.0  0.0   0:06.58 jbd2/mmcblk0p2-
  891 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 ext4-rsv-conver
  971 root      19  -1   43624  15292  13520 S   0.0  0.2   0:17.47 systemd-journal
  972 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 iscsi_eh
  986 root      20   0   86136   1104    916 S   0.0  0.0   0:00.00 lvmetad
  988 root      20   0   17488   4660   2532 S   0.0  0.1   0:02.40 systemd-udevd
 1008 root      20   0       0      0      0 S   0.0  0.0   0:00.00 vchiq-keep/0
 1009 root      10 -10       0      0      0 S   0.0  0.0   0:00.00 SMIO
 1013 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 mmal-vchiq
 1014 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 mmal-vchiq
 1016 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 mmal-vchiq
 1017 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 mmal-vchiq
 1024 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 cfg80211
 1060 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 brcmf_wq/mmc1:0
 1065 root      20   0       0      0      0 S   0.0  0.0   0:20.76 brcmf_wdog/mmc1
 1335 systemd+  20   0   83592   2492   2048 S   0.0  0.0   0:00.87 systemd-timesyn
 1655 systemd+  20   0   11368   4420   3916 S   0.0  0.1   0:06.31 systemd-network
 1656 systemd+  20   0   10408   5244   4608 S   0.0  0.1   0:18.41 systemd-resolve
 1693 root      20   0  234796   6632   5544 S   0.0  0.1   0:08.64 accounts-daemon
 1694 root      20   0   10232   5016   4364 S   0.0  0.1   0:00.82 systemd-logind
 1696 root      20   0  298428   1316   1052 S   0.0  0.0   0:01.59 lxcfs
 1697 message+  20   0    7196   4320   3360 S   0.0  0.1   0:17.25 dbus-daemon
 1711 root      20   0  239880   9720   7552 S   0.0  0.1   0:00.72 ModemManager
 1712 root      20   0    7068   2596   2304 S   0.0  0.0   0:00.68 cron
 1713 daemon    20   0    3656   1912   1712 S   0.0  0.0   0:00.00 atd
 1714 root      20   0    9780   7072   6108 S   0.0  0.1   0:02.75 wpa_supplicant
 1715 root      20   0   80376   2844   2476 S   0.0  0.0   0:10.22 irqbalance
 1716 root      20   0  100444  16316   8500 S   0.0  0.2   0:00.79 networkd-dispat
