
top - 15:27:39 up 1 day,  4:53,  3 users,  load average: 0.00, 0.02, 0.10
Tasks: 151 total,   1 running,  88 sleeping,   0 stopped,   0 zombie
%Cpu(s): 26.8 us,  6.2 sy,  0.0 ni, 66.0 id,  0.0 wa,  0.0 hi,  1.0 si,  0.0 st
KiB Mem :  7996700 total,  3546816 free,  2313556 used,  2136328 buff/cache
KiB Swap:        0 total,        0 free,        0 used.  5580188 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 2040 root      20   0  984036  74812  22328 S  79.4  0.9  74:49.94 mongod
25164 root      20   0 12.738g 898092  13956 S  16.7 11.2   0:08.95 open5gs-smfd
25166 root      20   0  909920  84376  11956 S  13.7  1.1   0:21.76 open5gs-amfd
25170 root      20   0  406800  78112   8988 S   7.8  1.0   0:10.30 open5gs-udmd
25172 root      20   0  898040  72116  12368 S   3.9  0.9   0:06.13 open5gs-pcfd
25179 root      20   0  376452  64592  12632 S   3.9  0.8   0:07.80 open5gs-udrd
25323 ubuntu    20   0    9440   3544   2936 R   2.9  0.0   0:00.62 top
23530 ubuntu    20   0   12456   3868   2884 S   2.0  0.0   0:09.56 sshd
25161 root      20   0 13.833g 774280   4836 S   2.0  9.7   0:03.22 open5gs-upfd
   10 root      20   0       0      0      0 I   1.0  0.0   0:49.08 rcu_preempt
24033 root      20   0       0      0      0 I   1.0  0.0   0:03.96 kworker/u8:3-br
25157 root      20   0  879060  26696   7272 S   1.0  0.3   0:01.04 5gc
25176 root      20   0  540340  39100   7284 S   1.0  0.5   0:00.98 open5gs-bsfd
25304 root      20   0       0      0      0 I   1.0  0.0   0:00.28 kworker/0:3-eve
25309 root      20   0       0      0      0 I   1.0  0.0   0:00.19 kworker/2:1-eve
25311 root      20   0       0      0      0 I   1.0  0.0   0:00.22 kworker/u8:0-ev
    1 root      20   0  161364   8516   5720 S   0.0  0.1   0:15.83 systemd
    2 root      20   0       0      0      0 S   0.0  0.0   0:00.27 kthreadd
